Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.4691E-09,-0.0013733,0.007543,0,0,0,0.19807,0.00032121,-2.33E-11,3.277E-12,0.00031349,7.6169E-06,0.0005892,0,0,0,0,0,0,package://Robot_Arm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot_Arm/meshes/base_link.STL,,servo holder-1;base version 2-1,Base Link Coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-1.5478E-17,-4.4748E-17,0.011342,0,0,0,0.24066,0.00021961,-3.0281E-07,-7.6215E-20,0.0002036,-7.857E-19,0.00037108,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_1.STL,,base shaft version 2-1;arm clampend-1;arm clampend-2;sample bearing holder cap-1;sample bearing holder cap-2;assembled servo-2/Feetech_STS3215-1;assembled servo-3/Feetech_STS3215-1;assembled servo-2/ac1-2;assembled servo-2/ac1-3;assembled servo-3/ac1-2;assembled servo-3/ac1-3;5972K279_Steel Ball Bearing-2;5972K279_Steel Ball Bearing-1,Link1 Coord,Axis_Joint_1,Joint_1,revolute,0,0,0.0941,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link_2,0.080358,0.0005424,0.0088242,0,0,0,0.090401,1.3539E-05,-3.1808E-07,6.0163E-09,6.7249E-05,-5.9616E-08,6.4097E-05,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_2.STL,,arm V2-1;assembled servo-4/Feetech_STS3215-1;arm clampend-3;assembled servo-4/ac1-3;assembled servo-4/ac1-2,Link 2 Coord,Axis_Joint_2,Joint_2,revolute,0.00017175,0.0088483,0.034334,1.5708,-1.5708,0,Link_1,0,0.018899,0.99982,0,0,-1.57,1.57,,,,,,,,
Link_3,0.0541062471270772,-0.00354604381686915,-0.0220064974845355,0,0,0,0.05696273993258,1.25532493264705E-05,4.038810934172E-07,2.95850913058183E-08,1.95793004928046E-05,-4.25743374682629E-08,1.74776992259823E-05,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_3.STL,,servo 5 holder-1;servo 5 holder-2;assembled servo-5/Feetech_STS3215-1;assembled servo-5/ac1-3;assembled servo-5/ac1-2,Link 3 Coord,Axis_Joint_3,Joint_3,revolute,0.12513,-0.020736,0.0091349,1.5708,0,0,Link_2,0.0057576,0.018899,0.9998,0,0,-1.57,1.57,,,,,,,,
Link_4,7.52705426133402E-05,0.000462811756834552,0.00858695671693732,0,0,0,0.0674532689964479,3.93720710688711E-05,-4.83208580470525E-08,1.50463738848548E-07,3.82051496112177E-05,-1.63505049750872E-06,9.77717247497827E-06,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_Arm/meshes/Link_4.STL,,wrist shaft-1;arm clampend-4;assembled servo-6/Feetech_STS3215-1;assembled servo-6/ac1-2;assembled servo-6/ac1-3,Slider Coord,Axis_Joint_4,Joint_4,revolute,0.16019,-0.0093985,-0.0098166,0,-1.5708,0,Link_3,0.0046679,-0.057206,-0.99835,0,0,-3.14,3.14,,,,,,,,
End_Effector,0.00878258139730009,-0.00234120487883826,0.00381053635874969,0,0,0,0.00185906518982787,5.36992775192672E-08,5.49967375111194E-08,-1.1655036355356E-09,2.27532299935667E-07,2.18796546028271E-09,2.77224509924143E-07,0,0,0,0,0,0,package://Robot_Arm/meshes/End_Effector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robot_Arm/meshes/End_Effector.STL,,end effector-1,End Effector Coord,Axis_Joint_5,Joint_5,revolute,0.016421,0.0012653,0.038182,0,-1.5708,0,Link_4,0.0076684,0.052344,0.9986,0,0,-1.57,1.57,,,,,,,,
